vehicle_id,seg_id,collectiontime,date,time_stamp,road_id,longitude,latitude,speed,acceleratorpedal,brakestatus,gearnum,havebrake,havedriver,excluded_reason
3,0,1718785803000,2024-06-19,16:30:03,A0008,123.184076,32.327128,26.9,6,0,14,0,1,outside_200m_all_points
3,0,1718785813000,2024-06-19,16:30:13,A0008,123.184761,32.327131,24.9,18,0,14,0,1,outside_200m_all_points
3,1,1718788083000,2024-06-19,17:08:03,A0008,123.184935,32.327136,21.9,27,0,14,0,1,outside_200m_all_points
8,1,1718874956000,2024-06-20,17:15:56,A0008,123.180318,32.329109,38.5,0,101,14,1,0,outside_200m_all_points
19,0,1718786878000,2024-06-19,16:47:58,A0008,123.17802,32.326736,9.1,0,101,14,1,0,outside_200m_all_points
19,0,1718786888000,2024-06-19,16:48:08,A0008,123.178329,32.326849,14.9,7,0,14,0,1,outside_200m_all_points
19,0,1718786898000,2024-06-19,16:48:18,A0008,123.178517,32.326838,1.6,0,101,14,1,0,outside_200m_all_points
19,0,1718786908000,2024-06-19,16:48:28,A0008,123.178532,32.326816,1.0,0,101,14,1,0,outside_200m_all_points
19,0,1718786918000,2024-06-19,16:48:38,A0008,123.178535,32.326807,0.2,0,101,14,1,0,outside_200m_all_points
19,0,1718786928000,2024-06-19,16:48:48,A0008,123.178538,32.326797,3.1,0,101,14,1,0,outside_200m_all_points
19,0,1718786938000,2024-06-19,16:48:58,A0008,123.178541,32.326787,0.0,0,101,14,1,0,outside_200m_all_points
19,0,1718786948000,2024-06-19,16:49:08,A0008,123.178541,32.326787,0.0,0,101,14,1,0,outside_200m_all_points
19,0,1718786958000,2024-06-19,16:49:18,A0008,123.178545,32.326775,0.0,0,101,14,1,0,outside_200m_all_points
19,0,1718786968000,2024-06-19,16:49:28,A0008,123.178567,32.326754,3.0,0,101,14,1,0,outside_200m_all_points
19,0,1718786978000,2024-06-19,16:49:38,A0008,123.178625,32.326766000000006,2.2,0,101,13,1,0,outside_200m_all_points
19,0,1718786988000,2024-06-19,16:49:48,A0008,123.178574,32.326747,0.0,0,101,13,1,0,outside_200m_all_points
19,0,1718786998000,2024-06-19,16:49:58,A0008,123.178574,32.326746,0.0,0,101,13,1,0,outside_200m_all_points
19,0,1718787008000,2024-06-19,16:50:08,A0008,123.178573,32.326746,1.9,18,0,14,0,1,outside_200m_all_points
19,0,1718787018000,2024-06-19,16:50:18,A0008,123.178738,32.326778999999995,4.6,0,101,14,1,0,outside_200m_all_points
19,0,1718787028000,2024-06-19,16:50:28,A0008,123.178734,32.326782,2.9,0,0,14,0,0,outside_200m_all_points
19,0,1718787038000,2024-06-19,16:50:38,A0008,123.178754,32.326782,1.1,0,101,13,1,0,outside_200m_all_points
19,0,1718787048000,2024-06-19,16:50:48,A0008,123.178766,32.326781,0.0,0,0,13,0,0,outside_200m_all_points
19,0,1718787058000,2024-06-19,16:50:58,A0008,123.178736,32.326773,0.2,0,101,13,1,0,outside_200m_all_points
19,0,1718787068000,2024-06-19,16:51:08,A0008,123.178777,32.326775,1.2,0,0,13,0,0,outside_200m_all_points
19,0,1718787078000,2024-06-19,16:51:18,A0008,123.17873,32.326768,0.7,0,101,13,1,0,outside_200m_all_points
19,0,1718787088000,2024-06-19,16:51:28,A0008,123.178801,32.326777,2.0,0,101,14,1,0,outside_200m_all_points
19,0,1718787098000,2024-06-19,16:51:38,A0008,123.17876499999998,32.326774,1.4,0,101,13,1,0,outside_200m_all_points
19,0,1718787108000,2024-06-19,16:51:48,A0008,123.178729,32.326764000000004,0.0,0,101,14,1,0,outside_200m_all_points
19,0,1718787118000,2024-06-19,16:51:58,A0008,123.178732,32.326766000000006,0.2,0,101,13,1,0,outside_200m_all_points
19,0,1718787129000,2024-06-19,16:52:09,A0008,123.178745,32.326772000000005,1.8,0,101,14,1,0,outside_200m_all_points
19,0,1718787139000,2024-06-19,16:52:19,A0008,123.178812,32.326778000000004,5.7,0,0,14,0,0,outside_200m_all_points
19,0,1718787149000,2024-06-19,16:52:29,A0008,123.178899,32.326809999999995,2.7,3,0,13,0,1,outside_200m_all_points
19,0,1718787159000,2024-06-19,16:52:39,A0008,123.178867,32.326801,2.6,0,101,14,1,0,outside_200m_all_points
19,0,1718787169000,2024-06-19,16:52:49,A0008,123.178851,32.326814,0.5,0,101,13,1,0,outside_200m_all_points
19,0,1718787179000,2024-06-19,16:52:59,A0008,123.178847,32.326794,2.4,0,101,13,1,0,outside_200m_all_points
19,0,1718787189000,2024-06-19,16:53:09,A0008,123.178843,32.326819,0.0,0,101,13,1,0,outside_200m_all_points
19,0,1718787199000,2024-06-19,16:53:19,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787209000,2024-06-19,16:53:29,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787219000,2024-06-19,16:53:39,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787229000,2024-06-19,16:53:49,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787239000,2024-06-19,16:53:59,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787249000,2024-06-19,16:54:09,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787259000,2024-06-19,16:54:19,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787269000,2024-06-19,16:54:29,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787279000,2024-06-19,16:54:39,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787289000,2024-06-19,16:54:49,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787299000,2024-06-19,16:54:59,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787309000,2024-06-19,16:55:09,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787319000,2024-06-19,16:55:19,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787329000,2024-06-19,16:55:29,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787339000,2024-06-19,16:55:39,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787349000,2024-06-19,16:55:49,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718787359000,2024-06-19,16:55:59,A0008,123.178843,32.326819,0.0,0,0,15,0,0,outside_200m_all_points
19,0,1718961943000,2024-06-21,17:25:43,A0008,123.177805,32.326791,18.2,31,0,14,0,1,outside_200m_all_points
23,0,1718615200000,2024-06-17,17:06:40,A0008,123.184911,32.327160000000006,22.0,0,0,14,1,0,outside_200m_all_points
23,0,1718702206000,2024-06-18,17:16:46,A0008,123.184833,32.327185,25.3,0,101,14,1,0,outside_200m_all_points
23,0,1718702216000,2024-06-18,17:16:56,A0008,123.184531,32.327098,10.0,6,0,14,0,1,outside_200m_all_points
23,0,1718788103000,2024-06-19,17:08:23,A0008,123.18518,32.327186,4.4,5,0,14,0,1,outside_200m_all_points
23,0,1718788113000,2024-06-19,17:08:33,A0008,123.184791,32.327200000000005,8.2,0,101,14,1,0,outside_200m_all_points
23,0,1718788123000,2024-06-19,17:08:43,A0008,123.184729,32.327209,0.2,0,101,14,1,1,outside_200m_all_points
23,0,1718788133000,2024-06-19,17:08:53,A0008,123.184672,32.327203000000004,6.9,3,0,14,0,1,outside_200m_all_points
23,0,1718788143000,2024-06-19,17:09:03,A0008,123.18456100000002,32.327181,4.2,0,0,14,0,1,outside_200m_all_points
23,0,1718874146000,2024-06-20,17:02:26,A0008,123.185191,32.327161000000004,16.8,12,0,14,0,1,outside_200m_all_points
23,0,1718874156000,2024-06-20,17:02:36,A0008,123.184694,32.327147,12.5,0,101,14,1,0,outside_200m_all_points
23,0,1718874166000,2024-06-20,17:02:46,A0008,123.184573,32.327144000000004,4.5,0,0,14,0,1,outside_200m_all_points
37,1,1718787755000,2024-06-19,17:02:35,A0008,123.18026299999998,32.329224,34.8,2,0,14,1,0,outside_200m_all_points
45,1,1718616097000,2024-06-17,17:21:37,A0008,123.182485,32.325183,20.0,0,65,14,1,0,outside_200m_all_points
45,1,1718702622000,2024-06-18,17:23:42,A0008,123.182531,32.325133,18.0,0,64,14,1,0,outside_200m_all_points
45,1,1718788333000,2024-06-19,17:12:13,A0008,123.182203,32.325391,5.0,80,0,14,0,1,outside_200m_all_points
45,2,1718789013000,2024-06-19,17:23:33,A0008,123.182471,32.325238,0.0,0,60,14,1,0,outside_200m_all_points
45,1,1718875413000,2024-06-20,17:23:33,A0008,123.182466,32.325225,0.0,0,62,14,1,0,outside_200m_all_points
45,1,1718961775000,2024-06-21,17:22:55,A0008,123.182526,32.32516,21.0,0,19,14,1,0,outside_200m_all_points
51,0,1718959615000,2024-06-21,16:46:55,A0008,123.178712,32.326898,26.0,0,0,14,0,0,outside_200m_all_points
55,1,1718787197000,2024-06-19,16:53:17,A0008,123.178449,32.326927000000005,1.0,0,101,14,1,0,outside_200m_all_points
55,1,1718787227000,2024-06-19,16:53:47,A0008,123.178119,32.326878,15.0,27,0,14,0,1,outside_200m_all_points
63,0,1718702621000,2024-06-18,17:23:41,A0008,123.177799,32.326729,13.7,12,0,14,0,1,outside_200m_all_points
88,0,1718787697000,2024-06-19,17:01:37,A0008,123.184845,32.327219,4.0,0,0,14,0,0,outside_200m_all_points
90,0,1718788924000,2024-06-19,17:22:04,A0008,123.178075,32.326682000000005,0.0,254,254,14,1,0,outside_200m_all_points
90,0,1718788934000,2024-06-19,17:22:14,A0008,123.178065,32.326692,0.5,254,254,14,0,0,outside_200m_all_points
90,0,1718788944000,2024-06-19,17:22:24,A0008,123.178065,32.326692,0.0,254,254,14,1,0,outside_200m_all_points
90,0,1718788954000,2024-06-19,17:22:34,A0008,123.178028,32.32674,16.3,254,254,14,0,1,outside_200m_all_points
116,0,1718786462000,2024-06-19,16:41:02,A0008,123.178071,32.326651,0.0,0,101,14,1,0,outside_200m_all_points
116,0,1718786492000,2024-06-19,16:41:32,A0008,123.178065,32.326642,0.0,7,0,14,0,1,outside_200m_all_points
137,2,1718700074000,2024-06-18,16:41:14,A0008,123.182461,32.325252000000006,20.8,0,0,14,1,0,outside_200m_all_points
137,1,1718873097000,2024-06-20,16:44:57,A0008,123.185121,32.327154,13.1,25,0,14,0,1,outside_200m_all_points
137,1,1718873107000,2024-06-20,16:45:07,A0008,123.184591,32.327133,4.8,0,0,14,1,0,outside_200m_all_points
