road_id,vehicle_id,date,seg_id,direction,enter_time,exit_time,enter_idx,exit_idx,duration_s,num_points
A0003,1,2024-06-19,0,A1-1,2025-11-09 16:54:44.722497337,2025-11-09 16:54:44.722497337,9,10,0,2
A0003,4,2024-06-19,0,A1-1,2025-11-09 16:33:28.315674104,2025-11-09 16:33:28.315674104,3,4,0,2
A0003,7,2024-06-19,0,A1-1,2025-11-09 17:11:49.729721532,2025-11-09 17:11:54.193869358,10,12,4,2
A0003,7,2024-06-20,0,A1-1,2025-11-09 17:16:06.369241884,2025-11-09 17:16:11.295397247,10,12,4,2
A0003,8,2024-06-19,0,A1-2,2025-11-09 17:09:58.401672973,2025-11-09 17:09:58.401672973,8,9,0,2
A0003,8,2024-06-19,2,A1-1,2025-11-09 17:27:09.729769953,2025-11-09 17:27:09.729769953,3,4,0,2
A0003,13,2024-06-19,0,A1-1,2025-11-09 16:58:42,2025-11-09 16:59:03,2,4,21,1
A0003,13,2024-06-21,0,A1-2,2025-11-09 17:18:18.677980730,2025-11-09 17:18:18.677980730,6,7,0,2
A0003,21,2024-06-19,0,A1-1,2025-11-09 16:57:10.207464955,2025-11-09 16:57:15.186696005,6,8,4,2
A0003,28,2024-06-17,0,A1-1,2025-11-09 17:14:15.898319241,2025-11-09 17:14:18.092766448,5,7,2,2
A0003,28,2024-06-19,0,A1-1,2025-11-09 17:18:37.486318717,2025-11-09 17:18:37.486318717,7,8,0,2
A0003,30,2024-06-19,0,A1-1,2025-11-09 17:29:58.101190005,2025-11-09 17:29:58.101190005,6,7,0,2
A0003,31,2024-06-19,0,A1-1,2025-11-09 17:21:06.491795113,2025-11-09 17:21:06.491795113,2,3,0,2
A0003,32,2024-06-19,0,A1-1,2025-11-09 17:12:17.352476512,2025-11-09 17:12:17.352476512,6,7,0,2
A0003,33,2024-06-19,0,A1-2,2025-11-09 16:48:28.258369619,2025-11-09 16:48:28.258369619,2,3,0,2
A0003,33,2024-06-19,1,A1-1,2025-11-09 17:05:41.824500982,2025-11-09 17:05:41.824500982,1,2,0,2
A0003,36,2024-06-19,0,A1-1,2025-11-09 16:59:01.178462585,2025-11-09 16:59:01.178462585,2,3,0,2
A0003,36,2024-06-19,2,A1-2,2025-11-09 17:18:27.745284837,2025-11-09 17:18:27.745284837,2,3,0,2
A0003,39,2024-06-17,0,A1-1,2025-11-09 16:54:35.453346264,2025-11-09 16:54:35.453346264,5,6,0,2
A0003,39,2024-06-19,0,A1-1,2025-11-09 17:03:04,2025-11-09 17:03:24,6,8,20,1
A0003,39,2024-06-21,0,A1-1,2025-11-09 16:54:48.818683325,2025-11-09 16:54:48.818683325,5,6,0,2
A0003,41,2024-06-19,0,A1-2,2025-11-09 17:24:45.665138039,2025-11-09 17:24:45.665138039,1,2,0,2
A0003,43,2024-06-17,0,A1-1,2025-11-09 17:01:22.422629952,2025-11-09 17:01:22.422629952,5,6,0,2
A0003,43,2024-06-18,0,A1-1,2025-11-09 17:09:51.168629949,2025-11-09 17:09:51.168629949,6,7,0,2
A0003,43,2024-06-19,0,A1-1,2025-11-09 16:59:12.563886922,2025-11-09 16:59:12.563886922,4,5,0,2
A0003,43,2024-06-20,0,A1-1,2025-11-09 16:54:36.755318742,2025-11-09 16:54:36.755318742,5,6,0,2
A0003,44,2024-06-19,0,A1-2,2025-11-09 17:24:58.326102207,2025-11-09 17:24:58.326102207,7,8,0,2
A0003,46,2024-06-19,0,A1-1,2025-11-09 16:33:04.762176863,2025-11-09 16:33:04.762176863,6,7,0,2
A0003,52,2024-06-19,0,A1-2,2025-11-09 16:45:58.399628297,2025-11-09 16:46:03.883669505,6,8,5,2
A0003,56,2024-06-19,0,A1-2,2025-11-09 16:50:03,2025-11-09 16:50:04.540299949,5,6,1,2
A0003,57,2024-06-19,0,A1-2,2025-11-09 17:14:06.513616462,2025-11-09 17:14:06.513616462,6,7,0,2
A0003,59,2024-06-17,0,A1-2,2025-11-09 16:43:46.096299370,2025-11-09 16:43:46.096299370,3,4,0,2
A0003,65,2024-06-19,0,A1-1,2025-11-09 16:44:13.498629317,2025-11-09 16:44:17.049685131,9,11,3,2
