vehicle_id,seg_id,collectiontime,date,time_stamp,road_id,longitude,latitude,speed,acceleratorpedal,brakestatus,gearnum,havebrake,havedriver,end_time,direction
7,0,1718788307000,2024-06-19,17:11:47,A0003,123.152151,32.345073,8.3,49.0,0,14,0,1,,A1-1
7,0,1718788312000,2024-06-19,17:11:52,A0003,123.152507,32.345096000000005,35.1,21.0,0,14,0,1,,A1-1
7,0,1718788317000,2024-06-19,17:11:57,A0003,123.15308,32.345108,39.3,8.0,0,14,0,1,,A1-1
7,0,1718874965000,2024-06-20,17:16:05,A0003,123.152234,32.345078,9.0,43.0,0,14,0,1,,A1-1
7,0,1718874970000,2024-06-20,17:16:10,A0003,123.152581,32.34509799999999,36.9,30.0,0,14,0,1,,A1-1
7,0,1718874975000,2024-06-20,17:16:15,A0003,123.153233,32.345107,50.5,22.0,0,14,0,1,,A1-1
13,0,1718787460000,2024-06-19,16:57:40,A0003,123.15217699999997,32.345096000000005,0.0,0.0,20,14,1,1,16:58:42,A1-1
13,0,1718787532000,2024-06-19,16:58:52,A0003,123.152349,32.345105,21.3,35.0,0,14,1,1,,A1-1
13,0,1718787543000,2024-06-19,16:59:03,A0003,123.153372,32.34512599999999,42.2,34.0,0,14,1,1,,A1-1
21,0,1718787424000,2024-06-19,16:57:04,A0003,123.151594,32.345053,39.3,0.0,0,14,1,0,,A1-1
21,0,1718787434000,2024-06-19,16:57:14,A0003,123.152613,32.345101,40.5,13.0,0,14,0,1,,A1-1
21,0,1718787444000,2024-06-19,16:57:24,A0003,123.153663,32.345087,34.5,16.0,0,14,0,1,,A1-1
28,0,1718615644000,2024-06-17,17:14:04,A0003,123.151859,32.345044,0.0,0.0,0,14,1,1,,A1-1
28,0,1718615654000,2024-06-17,17:14:14,A0003,123.15236000000002,32.345084,26.6,11.0,0,14,1,1,,A1-1
28,0,1718615664000,2024-06-17,17:14:24,A0003,123.153396,32.345099,37.5,8.0,0,14,1,1,,A1-1
