road_id,vehicle_id,date,seg_id,direction,enter_time,exit_time,enter_idx,exit_idx,duration_s,num_points
A0003,1,2024-06-19,0,A1-1,16:54:36,16:54:46,9,10,10,2
A0003,4,2024-06-19,0,A1-1,16:33:19,16:33:29,3,4,10,2
A0003,8,2024-06-19,0,A1-2,17:09:54,17:10:04,8,9,10,2
A0003,8,2024-06-19,2,A1-1,17:27:04,17:27:14,3,4,10,2
A0003,13,2024-06-21,0,A1-2,17:18:18,17:18:29,6,7,11,2
A0003,28,2024-06-19,0,A1-1,17:18:27,17:18:37,7,8,10,2
A0003,30,2024-06-19,0,A1-1,17:29:22,17:29:32,6,7,10,2
A0003,31,2024-06-19,0,A1-1,17:20:58,17:21:08,2,3,10,2
A0003,32,2024-06-19,0,A1-1,17:12:12,17:12:22,6,7,10,2
A0003,33,2024-06-19,0,A1-2,16:48:23,16:48:53,2,3,30,2
A0003,33,2024-06-19,1,A1-1,17:05:23,17:05:53,1,2,30,2
A0003,36,2024-06-19,0,A1-1,16:58:49,16:59:19,2,3,30,2
A0003,36,2024-06-19,2,A1-2,17:18:20,17:18:51,2,3,31,2
A0003,39,2024-06-17,0,A1-1,16:54:29,16:54:39,5,6,10,2
A0003,39,2024-06-21,0,A1-1,16:54:40,16:54:50,5,6,10,2
A0003,41,2024-06-19,0,A1-2,17:24:40,17:25:10,1,2,30,2
A0003,43,2024-06-17,0,A1-1,17:01:18,17:01:28,5,6,10,2
A0003,43,2024-06-18,0,A1-1,17:09:43,17:09:53,6,7,10,2
A0003,43,2024-06-19,0,A1-1,16:59:01,16:59:11,4,5,10,2
A0003,43,2024-06-20,0,A1-1,16:54:32,16:54:42,5,6,10,2
A0003,44,2024-06-19,0,A1-2,17:24:56,17:25:06,7,8,10,2
A0003,46,2024-06-19,0,A1-1,16:32:57,16:33:07,6,7,10,2
A0003,56,2024-06-19,0,A1-2,16:50:03,16:50:13,5,6,10,2
A0003,57,2024-06-19,0,A1-2,17:14:02,17:14:12,6,7,10,2
A0003,59,2024-06-17,0,A1-2,16:43:45,16:44:13,3,4,28,2
A0003,66,2024-06-19,0,A1-1,16:54:24,16:54:34,7,8,10,2
A0003,68,2024-06-19,0,A1-2,17:27:19,17:27:29,9,10,10,2
A0003,68,2024-06-20,0,A1-2,17:25:12,17:25:22,9,10,10,2
A0003,69,2024-06-17,0,A1-1,17:24:42,17:24:52,4,5,10,2
A0003,69,2024-06-18,0,A1-1,17:27:15,17:27:25,4,5,10,2
A0003,69,2024-06-21,0,A1-1,17:22:38,17:22:48,5,6,10,2
A0003,71,2024-06-19,1,A1-2,17:03:06,17:03:16,2,3,10,2
A0003,77,2024-06-18,0,A1-1,17:00:59,17:01:09,9,10,10,2
A0003,77,2024-06-20,0,A1-1,17:14:04,17:14:14,11,12,10,2
A0003,83,2024-06-19,0,A1-1,17:03:13,17:03:23,8,9,10,2
A0003,84,2024-06-19,0,A1-2,16:30:01,16:30:11,0,1,10,2
A0003,86,2024-06-19,0,A1-1,17:14:07,17:14:17,5,6,10,2
A0003,91,2024-06-17,0,A1-2,16:50:22,16:50:32,10,11,10,2
A0003,104,2024-06-19,0,A1-1,16:30:44,16:30:54,4,5,10,2
A0003,107,2024-06-17,0,A1-1,16:39:32,16:40:00,1,2,28,2
A0003,107,2024-06-18,0,A1-1,16:41:43,16:42:11,2,3,28,2
A0003,107,2024-06-21,0,A1-1,16:33:00,16:33:28,1,2,28,2
A0003,109,2024-06-19,0,A1-2,16:35:14,16:35:24,7,8,10,2
A0003,113,2024-06-19,0,A1-2,16:39:46,16:39:56,7,8,10,2
A0003,117,2024-06-19,0,A1-1,16:41:36,16:41:46,5,6,10,2
A0003,119,2024-06-17,0,A1-2,16:52:44,16:53:14,2,3,30,2
A0003,119,2024-06-18,0,A1-2,16:58:35,16:59:05,1,2,30,2
A0003,119,2024-06-19,0,A1-2,16:54:11,16:54:41,2,3,30,2
A0003,119,2024-06-21,0,A1-2,17:03:03,17:03:33,1,2,30,2
A0003,120,2024-06-19,0,A1-1,16:56:35,16:56:45,6,7,10,2
A0003,120,2024-06-20,0,A1-1,16:59:06,16:59:16,3,4,10,2
A0003,120,2024-06-21,0,A1-1,16:52:17,16:52:27,6,7,10,2
A0003,121,2024-06-19,0,A1-1,17:22:57,17:23:07,3,4,10,2
A0003,126,2024-06-19,1,A1-1,17:11:42,17:12:12,0,1,30,2
A0003,130,2024-06-19,0,A1-2,16:48:24,16:48:34,9,10,10,2
A0003,133,2024-06-17,0,A1-2,17:16:38,17:17:08,0,1,30,2
A0003,133,2024-06-18,0,A1-2,17:16:36,17:17:06,0,1,30,2
A0003,133,2024-06-19,0,A1-2,17:20:08,17:20:38,2,3,30,2
A0003,133,2024-06-20,0,A1-2,17:18:07,17:18:37,1,2,30,2
A0003,133,2024-06-21,0,A1-2,17:20:11,17:20:41,1,2,30,2
A0003,134,2024-06-19,0,A1-1,17:16:17,17:16:27,8,9,10,2
A0003,139,2024-06-17,0,A1-1,17:16:04,17:16:34,2,3,30,2
A0003,139,2024-06-18,0,A1-1,17:07:21,17:07:51,2,3,30,2
A0003,139,2024-06-19,0,A1-1,17:07:42,17:08:12,2,3,30,2
A0003,146,2024-06-17,0,A1-2,17:14:35,17:14:45,2,3,10,2
A0003,154,2024-06-17,0,A1-1,16:47:55,16:48:05,5,6,10,2
A0003,154,2024-06-18,0,A1-1,17:03:07,17:03:17,5,6,10,2
A0003,156,2024-06-19,0,A1-1,17:05:29,17:05:39,6,7,10,2
A0003,157,2024-06-19,0,A1-2,17:00:47,17:01:17,2,3,30,2
A0003,158,2024-06-18,0,A1-2,17:21:04,17:21:15,2,3,11,2
A0003,158,2024-06-19,0,A1-2,17:09:47,17:09:58,8,9,11,2
A0003,159,2024-06-19,0,A1-1,16:37:09,16:37:19,5,6,10,2
A0003,164,2024-06-19,0,A1-1,16:50:14,16:50:24,7,8,10,2
A0003,176,2024-06-19,0,A1-1,16:39:14,16:39:24,4,5,10,2
A0003,179,2024-06-19,0,A1-2,17:24:50,17:25:20,1,2,30,2
A0003,182,2024-06-20,0,A1-1,16:39:38,16:39:48,5,6,10,2
A0003,192,2024-06-19,0,A1-1,17:07:41,17:07:51,4,5,10,2
A0003,192,2024-06-21,0,A1-1,17:16:11,17:16:21,3,4,10,2
A0003,193,2024-06-19,0,A1-1,16:56:26,16:56:54,4,5,28,2
A0003,196,2024-06-19,0,A1-1,17:20:25,17:20:35,5,6,10,2
A0003,199,2024-06-18,0,A1-1,16:58:57,16:59:07,4,5,10,2
A0003,205,2024-06-19,0,A1-1,17:09:44,17:09:54,5,6,10,2
