vehicle_id,date,seg_id,road_id,direction
1,2024-06-19,0,A0003,A1-1
2,2024-06-17,0,A0008,B1-2
2,2024-06-18,0,A0008,B1-2
2,2024-06-19,0,A0008,B1-2
3,2024-06-17,0,A0008,B3-1
3,2024-06-18,0,A0008,B3-1
3,2024-06-19,2,A0008,B3-1
3,2024-06-20,0,A0008,B3-1
3,2024-06-21,0,A0008,A2-1
3,2024-06-21,1,A0008,C
3,2024-06-21,2,A0008,B3-1
4,2024-06-19,0,A0003,A1-1
5,2024-06-19,0,A0003,B3-1
6,2024-06-19,0,A0008,A1-2
6,2024-06-20,0,A0008,A1-2
7,2024-06-19,0,A0003,A1-1
7,2024-06-20,0,A0003,A1-1
8,2024-06-18,0,A0003,C
8,2024-06-19,0,A0003,A1-2
8,2024-06-19,1,A0003,C
8,2024-06-19,2,A0003,A1-1
8,2024-06-20,0,A0008,B1-2
8,2024-06-20,2,A0008,B1-2
8,2024-06-21,0,A0003,A2-1
9,2024-06-17,0,A0003,A2-2
9,2024-06-19,0,A0003,A2-2
9,2024-06-20,0,A0003,A2-2
10,2024-06-18,0,A0008,B1-1
10,2024-06-19,0,A0008,B1-1
10,2024-06-20,0,A0008,B1-1
11,2024-06-19,0,A0008,B1-1
11,2024-06-19,1,A0008,B1-2
11,2024-06-19,2,A0008,B1-2
12,2024-06-19,0,A0008,B1-1
13,2024-06-19,0,A0003,A1-1
13,2024-06-21,0,A0003,A1-2
14,2024-06-17,0,A0008,B1-1
14,2024-06-18,0,A0008,B1-1
14,2024-06-19,0,A0008,B1-1
14,2024-06-21,0,A0008,B1-1
15,2024-06-19,0,A0008,A1-2
16,2024-06-19,0,A0003,C
16,2024-06-19,3,A0003,C
16,2024-06-20,0,A0003,C
16,2024-06-21,0,A0003,C
16,2024-06-21,4,A0003,B3-1
17,2024-06-18,0,A0003,B3-1
17,2024-06-19,0,A0003,B3-1
17,2024-06-21,0,A0003,B3-1
18,2024-06-19,0,A0008,B3-1
18,2024-06-19,1,A0008,A3-2
18,2024-06-19,2,A0008,B1-1
20,2024-06-19,0,A0008,B3-2
21,2024-06-19,0,A0003,A1-1
22,2024-06-19,0,A0003,B2-1
24,2024-06-17,0,A0008,A2-1
24,2024-06-17,1,A0008,C
24,2024-06-18,0,A0008,A2-1
24,2024-06-18,1,A0008,C
24,2024-06-18,2,A0008,A1-2
24,2024-06-19,0,A0008,A2-1
24,2024-06-19,1,A0008,C
24,2024-06-20,0,A0008,A2-1
25,2024-06-19,0,A0003,B3-1
26,2024-06-17,0,A0008,B1-1
26,2024-06-18,0,A0008,B1-1
26,2024-06-19,0,A0008,B1-1
26,2024-06-20,0,A0008,B1-1
26,2024-06-21,0,A0008,B1-1
28,2024-06-17,0,A0003,A1-1
28,2024-06-19,0,A0003,A1-1
29,2024-06-19,0,A0008,B1-1
29,2024-06-19,1,A0008,A2-1
30,2024-06-19,0,A0003,A1-1
31,2024-06-19,0,A0003,A1-1
32,2024-06-19,0,A0003,A1-1
33,2024-06-19,0,A0003,A1-2
33,2024-06-19,1,A0003,A1-1
34,2024-06-19,0,A0003,A2-1
34,2024-06-19,2,A0003,B3-1
35,2024-06-17,0,A0008,B1-2
35,2024-06-18,0,A0008,B1-2
35,2024-06-19,0,A0008,B1-2
35,2024-06-20,0,A0008,B1-2
35,2024-06-21,0,A0008,B1-2
36,2024-06-19,0,A0003,A1-1
36,2024-06-19,2,A0003,A1-2
37,2024-06-18,0,A0008,B1-2
37,2024-06-19,0,A0008,B1-1
37,2024-06-19,2,A0008,B1-2
37,2024-06-20,0,A0008,B1-2
39,2024-06-17,0,A0003,A1-1
39,2024-06-19,0,A0003,A1-1
39,2024-06-21,0,A0003,A1-1
40,2024-06-19,0,A0008,A2-2
41,2024-06-19,0,A0003,A1-2
42,2024-06-19,0,A0008,B1-1
43,2024-06-17,0,A0003,A1-1
43,2024-06-18,0,A0003,A1-1
43,2024-06-19,0,A0003,A1-1
43,2024-06-20,0,A0003,A1-1
44,2024-06-19,0,A0003,A1-2
45,2024-06-17,0,A0008,B1-2
45,2024-06-17,2,A0008,B1-1
45,2024-06-18,0,A0008,B1-2
45,2024-06-18,2,A0008,B1-1
45,2024-06-19,0,A0008,B1-2
45,2024-06-19,3,A0008,B1-1
45,2024-06-20,0,A0008,B1-2
45,2024-06-20,2,A0008,B1-1
45,2024-06-21,0,A0008,B1-2
45,2024-06-21,2,A0008,B1-1
46,2024-06-19,0,A0003,A1-1
48,2024-06-19,0,A0008,C
48,2024-06-19,1,A0008,A1-2
48,2024-06-19,2,A0008,A1-1
49,2024-06-19,0,A0008,B1-1
50,2024-06-17,0,A0008,B1-2
50,2024-06-19,0,A0008,B1-2
50,2024-06-21,0,A0008,B1-2
51,2024-06-19,0,A0008,C
52,2024-06-19,0,A0003,A1-2
53,2024-06-19,0,A0003,A2-1
54,2024-06-19,0,A0008,A2-1
55,2024-06-19,0,A0008,B1-1
56,2024-06-19,0,A0003,A1-2
57,2024-06-19,0,A0003,A1-2
58,2024-06-19,0,A0008,A1-1
59,2024-06-17,0,A0003,A1-2
59,2024-06-19,0,A0003,A2-1
60,2024-06-19,0,A0003,A2-1
61,2024-06-19,0,A0003,A3-2
61,2024-06-21,0,A0003,B1-2
62,2024-06-19,0,A0003,B2-1
63,2024-06-17,0,A0008,A3-2
