offset_s,time,A1,A2,B1,B2
0,16:34:24,2,0,23,0
1,16:34:25,3,0,20,0
2,16:34:26,3,0,17,0
3,16:34:27,4,0,16,0
4,16:34:28,4,0,13,0
5,16:34:29,5,0,12,0
6,16:34:30,5,0,11,0
7,16:34:31,5,0,11,0
8,16:34:32,5,0,11,0
9,16:34:33,5,0,10,0
10,16:34:34,5,0,8,0
11,16:34:35,7,0,7,0
12,16:34:36,9,0,7,0
13,16:34:37,11,0,4,0
14,16:34:38,15,0,4,0
15,16:34:39,16,0,3,0
16,16:34:40,20,0,2,0
17,16:34:41,26,0,1,0
18,16:34:42,30,0,1,0
19,16:34:43,32,0,1,0
20,16:34:44,41,0,1,0
21,16:34:45,48,0,1,0
22,16:34:46,53,0,1,0
23,16:34:47,65,0,0,0
24,16:34:48,75,0,0,0
25,16:34:49,79,0,0,0
26,16:34:50,85,0,0,0
27,16:34:51,96,0,0,0
28,16:34:52,106,0,0,0
29,16:34:53,117,0,0,0
30,16:34:54,132,0,0,0
31,16:34:55,152,0,0,0
32,16:34:56,173,0,0,0
33,16:34:57,188,0,0,0
34,16:34:58,208,0,0,0
35,16:34:59,223,0,0,0
36,16:35:00,236,0,0,0
37,16:35:01,244,0,0,0
38,16:35:02,259,0,0,0
39,16:35:03,277,0,0,0
40,16:35:04,298,0,0,0
41,16:35:05,292,0,0,0
42,16:35:06,300,0,0,0
43,16:35:07,318,0,0,0
44,16:35:08,318,0,0,0
45,16:35:09,331,0,0,0
46,16:35:10,339,0,0,0
47,16:35:11,345,0,0,0
48,16:35:12,333,0,0,0
49,16:35:13,333,0,0,0
50,16:35:14,323,0,0,0
51,16:35:15,329,0,0,0
52,16:35:16,316,0,0,0
53,16:35:17,297,0,0,0
54,16:35:18,295,0,0,0
55,16:35:19,291,0,0,0
56,16:35:20,287,0,0,0
57,16:35:21,278,0,0,0
58,16:35:22,271,0,0,0
59,16:35:23,263,0,0,0
60,16:35:24,247,0,0,0
61,16:35:25,228,0,0,0
62,16:35:26,231,0,0,0
63,16:35:27,225,0,0,0
64,16:35:28,212,0,0,0
65,16:35:29,199,0,0,0
66,16:35:30,186,0,0,0
67,16:35:31,176,0,0,0
68,16:35:32,166,0,0,0
69,16:35:33,158,0,0,0
70,16:35:34,154,0,0,0
71,16:35:35,147,0,0,0
72,16:35:36,129,0,0,0
73,16:35:37,116,0,0,0
74,16:35:38,107,0,0,0
75,16:35:39,92,0,0,0
76,16:35:40,86,0,0,0
77,16:35:41,79,0,0,0
78,16:35:42,74,0,0,0
79,16:35:43,63,0,0,0
80,16:35:44,56,0,0,0
81,16:35:45,48,0,0,0
82,16:35:46,42,0,0,0
83,16:35:47,37,0,0,0
84,16:35:48,31,0,0,0
85,16:35:49,26,0,0,0
86,16:35:50,21,0,0,0
87,16:35:51,17,0,0,0
88,16:35:52,16,0,0,0
89,16:35:53,11,0,1,0
90,16:35:54,7,0,1,0
91,16:35:55,7,0,3,0
92,16:35:56,3,0,6,0
93,16:35:57,3,0,7,0
94,16:35:58,2,0,7,0
95,16:35:59,2,0,7,0
96,16:36:00,3,0,8,0
97,16:36:01,4,0,8,0
98,16:36:02,3,0,10,0
99,16:36:03,3,0,10,0
100,16:36:04,2,0,10,0
101,16:36:05,3,0,12,0
102,16:36:06,3,0,14,0
103,16:36:07,3,0,15,0
104,16:36:08,3,0,18,0
105,16:36:09,3,0,20,0
106,16:36:10,2,0,24,0
107,16:36:11,2,0,25,0
108,16:36:12,2,0,27,0
109,16:36:13,2,0,31,0
110,16:36:14,2,0,37,0
111,16:36:15,2,0,42,0
112,16:36:16,2,0,43,0
113,16:36:17,2,0,46,0
114,16:36:18,2,0,45,0
115,16:36:19,2,0,44,0
116,16:36:20,2,0,43,0
117,16:36:21,2,0,45,0
118,16:36:22,2,0,44,0
119,16:36:23,2,0,38,0
120,16:36:24,3,0,33,0
121,16:36:25,3,0,29,0
122,16:36:26,3,0,26,0
123,16:36:27,3,0,26,0
124,16:36:28,3,0,26,0
125,16:36:29,3,0,26,0
126,16:36:30,3,0,26,0
127,16:36:31,2,0,25,0
128,16:36:32,2,0,22,0
129,16:36:33,2,0,22,0
