offset_s,time,A1,A2,B1,B2
0,16:34:24,60,5,0,4
1,16:34:25,60,3,0,5
2,16:34:26,61,3,0,6
3,16:34:27,61,2,0,6
4,16:34:28,62,2,0,6
5,16:34:29,62,2,0,6
6,16:34:30,61,0,0,6
7,16:34:31,61,0,0,6
8,16:34:32,60,0,0,6
9,16:34:33,61,0,0,6
10,16:34:34,61,0,0,6
11,16:34:35,62,0,0,6
12,16:34:36,63,0,0,6
13,16:34:37,64,0,0,6
14,16:34:38,63,0,0,6
15,16:34:39,62,0,0,6
16,16:34:40,62,0,0,6
17,16:34:41,63,0,0,6
18,16:34:42,63,0,0,6
19,16:34:43,64,0,0,6
20,16:34:44,64,0,0,6
21,16:34:45,64,0,0,6
22,16:34:46,62,0,0,6
23,16:34:47,62,0,0,6
24,16:34:48,60,0,0,6
25,16:34:49,58,0,0,6
26,16:34:50,52,0,1,6
27,16:34:51,52,0,1,6
28,16:34:52,46,0,1,6
29,16:34:53,39,0,1,5
30,16:34:54,30,0,1,4
31,16:34:55,22,0,1,2
32,16:34:56,18,0,1,1
33,16:34:57,15,0,1,1
34,16:34:58,11,0,1,1
35,16:34:59,6,0,1,1
36,16:35:00,5,0,1,1
37,16:35:01,0,1,1,1
38,16:35:02,0,1,1,1
39,16:35:03,0,2,1,1
40,16:35:04,0,2,1,2
41,16:35:05,0,2,1,3
42,16:35:06,0,2,1,3
43,16:35:07,0,2,1,4
44,16:35:08,0,2,2,5
45,16:35:09,0,2,2,7
46,16:35:10,0,2,2,7
47,16:35:11,0,3,2,8
48,16:35:12,0,3,2,8
49,16:35:13,0,3,2,12
50,16:35:14,0,3,2,15
51,16:35:15,0,4,2,16
52,16:35:16,0,4,3,18
53,16:35:17,0,4,3,18
54,16:35:18,0,4,3,18
55,16:35:19,0,4,3,19
56,16:35:20,0,4,3,19
57,16:35:21,0,4,3,19
58,16:35:22,0,4,3,20
59,16:35:23,0,4,3,21
60,16:35:24,0,4,3,21
61,16:35:25,0,4,3,21
62,16:35:26,0,4,3,21
63,16:35:27,0,4,3,21
64,16:35:28,0,4,3,21
65,16:35:29,0,4,3,21
66,16:35:30,0,4,3,23
67,16:35:31,0,4,3,24
68,16:35:32,0,4,3,24
69,16:35:33,0,4,3,21
70,16:35:34,0,4,3,18
71,16:35:35,0,4,3,17
72,16:35:36,0,4,3,15
73,16:35:37,0,5,3,14
74,16:35:38,0,5,3,13
75,16:35:39,1,5,3,10
76,16:35:40,2,5,3,9
77,16:35:41,2,5,3,8
78,16:35:42,3,5,3,6
79,16:35:43,3,5,3,4
80,16:35:44,3,5,3,3
81,16:35:45,3,5,3,3
82,16:35:46,3,6,2,3
83,16:35:47,3,6,2,3
84,16:35:48,4,6,2,2
85,16:35:49,4,6,2,2
86,16:35:50,8,7,2,1
87,16:35:51,8,7,2,1
88,16:35:52,11,7,2,1
89,16:35:53,12,7,2,1
90,16:35:54,15,7,2,1
91,16:35:55,19,7,2,1
92,16:35:56,20,7,2,1
93,16:35:57,20,7,2,1
94,16:35:58,21,7,2,1
95,16:35:59,24,7,2,1
96,16:36:00,25,7,2,1
97,16:36:01,26,7,2,1
98,16:36:02,27,7,2,1
99,16:36:03,29,7,2,1
100,16:36:04,32,7,2,1
101,16:36:05,33,7,2,0
102,16:36:06,35,7,2,0
103,16:36:07,36,7,2,0
104,16:36:08,36,7,1,0
105,16:36:09,36,7,1,0
106,16:36:10,39,7,0,0
107,16:36:11,42,6,0,0
108,16:36:12,44,6,0,0
109,16:36:13,46,6,0,0
110,16:36:14,48,6,0,1
111,16:36:15,48,7,0,1
112,16:36:16,49,6,0,1
113,16:36:17,50,6,0,1
114,16:36:18,52,6,0,1
115,16:36:19,54,6,0,1
116,16:36:20,54,6,0,1
117,16:36:21,55,7,0,1
118,16:36:22,56,8,0,1
119,16:36:23,56,9,0,2
120,16:36:24,58,9,0,2
121,16:36:25,59,9,0,3
122,16:36:26,60,9,0,3
123,16:36:27,60,9,0,3
124,16:36:28,62,9,0,4
125,16:36:29,62,9,0,4
126,16:36:30,62,9,0,4
127,16:36:31,62,7,0,4
128,16:36:32,62,6,0,4
129,16:36:33,63,4,0,4
