road_id,vehicle_id,date,seg_id,direction,keep_start_idx,keep_end_idx,points_before,points_after,reason
A0003,1,2024-06-19,0,A1-1,0,13,14,14,straight_trim_dir
A0003,4,2024-06-19,0,A1-1,0,10,11,11,straight_trim_dir
A0003,5,2024-06-19,0,B3-1,5,10,11,6,turn_trim
A0003,7,2024-06-19,0,A1-1,0,18,19,19,straight_trim_dir
A0003,7,2024-06-20,0,A1-1,0,18,19,19,straight_trim_dir
A0003,8,2024-06-18,0,C,0,3,4,4,short
A0003,8,2024-06-19,0,A1-2,0,13,14,14,straight_trim_dir
A0003,8,2024-06-19,1,C,0,3,4,4,short
A0003,8,2024-06-19,2,A1-1,0,5,7,6,straight_trim_dir
A0003,8,2024-06-21,0,A2-1,3,9,11,7,turn_trim
A0003,9,2024-06-17,0,A2-2,0,6,7,7,turn_trim
A0003,9,2024-06-19,0,A2-2,2,9,10,8,turn_trim
A0003,9,2024-06-20,0,A2-2,3,13,14,11,turn_trim
A0003,13,2024-06-19,0,A1-1,0,7,8,8,straight_trim_dir
A0003,13,2024-06-21,0,A1-2,0,8,10,9,straight_trim_dir
A0003,16,2024-06-19,0,C,0,17,18,18,skip_label
A0003,16,2024-06-19,3,C,0,17,18,18,skip_label
A0003,16,2024-06-20,0,C,0,14,15,15,skip_label
A0003,16,2024-06-21,0,C,0,18,19,19,skip_label
A0003,16,2024-06-21,4,B3-1,8,23,24,16,turn_trim
A0003,17,2024-06-18,0,B3-1,6,12,13,7,turn_trim
A0003,17,2024-06-19,0,B3-1,4,9,10,6,turn_trim
A0003,17,2024-06-21,0,B3-1,5,12,13,8,turn_trim
A0003,21,2024-06-19,0,A1-1,0,12,13,13,straight_trim_dir
A0003,22,2024-06-19,0,B2-1,0,11,12,12,turn_trim
A0003,25,2024-06-19,0,B3-1,4,13,14,10,turn_trim
A0003,28,2024-06-17,0,A1-1,0,11,12,12,straight_trim_dir
A0003,28,2024-06-19,0,A1-1,0,11,12,12,straight_trim_dir
A0003,30,2024-06-19,0,A1-1,0,7,8,8,straight_trim_dir
A0003,31,2024-06-19,0,A1-1,0,6,7,7,straight_trim_dir
A0003,32,2024-06-19,0,A1-1,0,11,12,12,straight_trim_dir
A0003,33,2024-06-19,0,A1-2,0,4,5,5,straight_trim_dir
A0003,33,2024-06-19,1,A1-1,0,3,4,4,short
A0003,34,2024-06-19,0,A2-1,2,9,10,8,turn_trim
A0003,34,2024-06-19,2,B3-1,3,10,11,8,turn_trim
A0003,36,2024-06-19,0,A1-1,0,4,5,5,straight_trim_dir
A0003,36,2024-06-19,2,A1-2,0,4,5,5,straight_trim_dir
A0003,39,2024-06-17,0,A1-1,0,8,9,9,straight_trim_dir
A0003,39,2024-06-19,0,A1-1,0,10,11,11,straight_trim_dir
A0003,39,2024-06-21,0,A1-1,0,9,10,10,straight_trim_dir
A0003,41,2024-06-19,0,A1-2,1,4,5,4,straight_trim_dir
A0003,43,2024-06-17,0,A1-1,0,11,12,12,straight_trim_dir
A0003,43,2024-06-18,0,A1-1,0,10,11,11,straight_trim_dir
A0003,43,2024-06-19,0,A1-1,0,8,9,9,straight_trim_dir
A0003,43,2024-06-20,0,A1-1,0,8,9,9,straight_trim_dir
A0003,44,2024-06-19,0,A1-2,0,11,12,12,straight_trim_dir
A0003,46,2024-06-19,0,A1-1,0,11,12,12,straight_trim_dir
A0003,52,2024-06-19,0,A1-2,0,13,14,14,straight_trim_dir
A0003,53,2024-06-19,0,A2-1,0,3,4,4,short
A0003,56,2024-06-19,0,A1-2,0,8,9,9,straight_trim_dir
A0003,57,2024-06-19,0,A1-2,0,11,12,12,straight_trim_dir
A0003,59,2024-06-17,0,A1-2,0,5,6,6,straight_trim_dir
A0003,59,2024-06-19,0,A2-1,0,3,4,4,short
A0003,60,2024-06-19,0,A2-1,3,9,10,7,turn_trim
A0003,61,2024-06-19,0,A3-2,0,13,14,14,turn_trim
A0003,61,2024-06-21,0,B1-2,0,7,8,8,straight_trim_dir
A0003,62,2024-06-19,0,B2-1,0,10,11,11,turn_trim
A0003,64,2024-06-19,0,B3-1,5,10,11,6,turn_trim
A0003,65,2024-06-19,0,A1-1,0,17,18,18,straight_trim_dir
