road_id,phase_id,cycle_num,start_time,end_time
A0003,A1,1,2024-06-18 16:34:25,2024-06-18 16:36:07
A0003,A1,2,2024-06-18 16:36:34,2024-06-18 16:38:17
A0003,A1,3,2024-06-18 16:38:44,2024-06-18 16:40:27
A0003,A1,4,2024-06-18 16:40:54,2024-06-18 16:42:37
A0003,A1,5,2024-06-18 16:43:04,2024-06-18 16:44:47
A0003,A1,6,2024-06-18 16:45:14,2024-06-18 16:46:57
A0003,A1,7,2024-06-18 16:47:24,2024-06-18 16:49:07
A0003,A1,8,2024-06-18 16:49:34,2024-06-18 16:51:17
A0003,A1,9,2024-06-18 16:51:44,2024-06-18 16:53:27
A0003,A1,10,2024-06-18 16:53:54,2024-06-18 16:55:37
A0003,A1,11,2024-06-18 16:56:04,2024-06-18 16:57:47
A0003,A1,12,2024-06-18 16:58:14,2024-06-18 16:59:57
A0003,A1,13,2024-06-18 17:00:24,2024-06-18 17:02:07
A0003,A1,14,2024-06-18 17:02:34,2024-06-18 17:04:17
A0003,A1,15,2024-06-18 17:04:44,2024-06-18 17:06:27
A0003,A1,16,2024-06-18 17:06:54,2024-06-18 17:08:37
A0003,A1,17,2024-06-18 17:09:04,2024-06-18 17:10:47
A0003,A1,18,2024-06-18 17:11:14,2024-06-18 17:12:57
A0003,A1,19,2024-06-18 17:13:24,2024-06-18 17:15:06
A0003,A1,20,2024-06-18 17:15:34,2024-06-18 17:17:16
A0003,A1,21,2024-06-18 17:17:44,2024-06-18 17:19:26
A0003,A1,22,2024-06-18 17:19:54,2024-06-18 17:21:36
A0003,A1,23,2024-06-18 17:22:04,2024-06-18 17:23:46
A0003,A1,24,2024-06-18 17:24:14,2024-06-18 17:25:56
A0003,A1,25,2024-06-18 17:26:24,2024-06-18 17:28:06
A0003,A2,1,2024-06-18 16:34:52,2024-06-18 16:36:34
A0003,A2,2,2024-06-18 16:37:02,2024-06-18 16:38:44
A0003,A2,3,2024-06-18 16:39:12,2024-06-18 16:40:54
A0003,A2,4,2024-06-18 16:41:22,2024-06-18 16:43:04
A0003,A2,5,2024-06-18 16:43:32,2024-06-18 16:45:14
A0003,A2,6,2024-06-18 16:45:42,2024-06-18 16:47:24
A0003,A2,7,2024-06-18 16:47:52,2024-06-18 16:49:34
A0003,A2,8,2024-06-18 16:50:02,2024-06-18 16:51:44
A0003,A2,9,2024-06-18 16:52:12,2024-06-18 16:53:54
A0003,A2,10,2024-06-18 16:54:22,2024-06-18 16:56:04
A0003,A2,11,2024-06-18 16:56:32,2024-06-18 16:58:14
A0003,A2,12,2024-06-18 16:58:42,2024-06-18 17:00:24
A0003,A2,13,2024-06-18 17:00:52,2024-06-18 17:02:34
A0003,A2,14,2024-06-18 17:03:02,2024-06-18 17:04:44
A0003,A2,15,2024-06-18 17:05:12,2024-06-18 17:06:54
A0003,A2,16,2024-06-18 17:07:22,2024-06-18 17:09:04
A0003,A2,17,2024-06-18 17:09:32,2024-06-18 17:11:14
A0003,A2,18,2024-06-18 17:11:42,2024-06-18 17:13:24
A0003,A2,19,2024-06-18 17:13:52,2024-06-18 17:15:33
A0003,A2,20,2024-06-18 17:16:02,2024-06-18 17:17:43
