road_id,vehicle_id,date,seg_id,direction,time_stamp,end_time
A0003,13,2024-06-19,0,A1-1,16:57:40,16:58:42
A0003,39,2024-06-19,0,A1-1,17:02:24,17:03:04
A0003,87,2024-06-19,0,A1-2,17:00:18,17:00:48
A0003,158,2024-06-17,0,A1-2,16:48:42,16:50:05
A0003,182,2024-06-19,0,A1-1,16:47:18,16:47:58
A0003,199,2024-06-19,0,A1-1,17:04:57,17:05:17
A0003,218,2024-06-19,0,A1-2,17:22:28,17:22:38
A0003,219,2024-06-21,0,A1-2,17:17:13,17:18:13
A0003,226,2024-06-19,1,A1-1,17:28:41,17:29:11
A0003,237,2024-06-18,0,A1-2,17:18:16,17:18:16
A0003,237,2024-06-20,0,A1-2,17:22:31,17:22:41
A0003,254,2024-06-19,0,A1-1,16:55:56,16:56:36
A0003,296,2024-06-19,0,A1-1,16:50:49,16:52:09
A0003,297,2024-06-20,0,A1-2,16:45:39,16:45:49
A0003,340,2024-06-20,0,A1-1,17:15:06,17:16:06
A0003,345,2024-06-17,0,A1-1,17:21:23,17:22:33
A0003,345,2024-06-19,0,A1-1,17:26:00,17:26:50
A0003,345,2024-06-20,0,A1-1,17:21:29,17:22:39
A0003,358,2024-06-19,0,A1-1,16:48:55,16:50:05
A0003,395,2024-06-17,0,A1-1,16:46:53,16:47:53
A0003,398,2024-06-21,0,A1-1,16:58:36,16:58:36
A0003,445,2024-06-20,0,A1-1,16:48:59,16:50:09
A0003,456,2024-06-20,0,A1-2,16:44:52,16:45:22
A0003,469,2024-06-18,0,A1-1,16:56:03,16:56:33
A0003,518,2024-06-20,0,A1-2,17:13:08,17:13:58
A0003,524,2024-06-20,0,A1-1,16:57:59,16:58:39
A0003,527,2024-06-20,0,A1-1,16:35:59,16:36:59
A0003,529,2024-06-20,0,A1-1,16:55:40,16:56:30
A0003,533,2024-06-17,0,A1-1,16:42:24,16:43:39
A0003,563,2024-06-20,0,A1-2,16:51:20,16:52:10
A0003,570,2024-06-18,0,A1-1,16:38:21,16:39:11
A0003,577,2024-06-21,0,A1-1,17:19:24,17:20:24
A0003,628,2024-06-20,0,A1-2,16:55:43,16:56:33
A0003,658,2024-06-20,1,A1-1,17:27:52,17:29:02
A0003,715,2024-06-18,0,A1-1,16:51:29,16:52:19
A0003,715,2024-06-21,0,A1-1,16:55:41,16:56:31
A0003,735,2024-06-20,0,A1-2,16:57:53,16:58:43
A0003,740,2024-06-19,0,A1-2,17:08:44,17:09:34
A0003,774,2024-06-20,0,A1-1,16:58:04,16:58:44
A0003,813,2024-06-18,0,A1-1,16:49:07,16:50:07
A0003,883,2024-06-18,0,A1-2,16:39:10,16:39:20
A0003,919,2024-06-18,0,A1-1,16:42:22,16:43:32
A0003,946,2024-06-18,0,A1-1,16:38:00,16:39:10
A0003,956,2024-06-18,2,A1-2,16:38:14,16:39:14
A0003,963,2024-06-18,1,A1-1,17:04:32,17:05:12
A0003,1060,2024-06-17,0,A1-2,16:35:55,16:37:05
A0003,1060,2024-06-18,0,A1-2,17:01:52,17:03:02
A0003,1084,2024-06-18,0,A1-1,17:07:01,17:07:31
A0003,1098,2024-06-21,0,A1-1,16:30:01,16:30:21
A0003,1101,2024-06-21,0,A1-1,16:48:48,16:50:08
A0003,1105,2024-06-21,0,A1-1,17:04:48,17:05:08
A0003,1114,2024-06-21,0,A1-1,17:19:45,17:20:25
A0003,1157,2024-06-21,1,A1-1,16:34:43,16:34:53
